Place,Lat,Long
"Westchester Village/Unionport, New York",40.83034079999999,-73.8506737

"Marine Park/Mill Basin, New York",40.6113817,-73.93318649999999

"Cambria Heights, New York",40.692158,-73.7330753

"Pelham Parkway, New York",40.8553279,-73.8639594

"Belmont, New York",42.2231241,-78.0344506

"Auburndale, New York",40.7577672,-73.78339609999999

"Bath Beach, New York",40.6038852,-74.0062078

"Claremont/Bathgate, New York",40.7127753,-74.0059728

"Middle Village, New York",40.717372,-73.87425

"East Tremont, New York",40.8453781,-73.8909693

"Starrett City, New York",40.6484272,-73.88236119999999

"Borough Park, New York",40.6350319,-73.9921028

"Kew Gardens Hills, New York",40.7246203,-73.8207637

"Dyker Heights, New York",40.6167679,-74.0183

"Bellerose, New York",40.72437070000001,-73.71540139999999

"Madison, New York",42.8989582,-75.5121217

"City Island, New York",40.8468202,-73.7874983

"Spuyten Duyvil/Kingsbridge, New York",40.88116369999999,-73.9154069

"Flushing, New York",40.7647238,-73.8306716

"Norwood, New York",44.7514452,-74.9943641

"Glen Oaks, New York",40.7500305,-73.7163805

"Inwood Hill Park, New York",40.8721829,-73.924776

"Oakland Gardens, New York",40.7408584,-73.758241

"Van Nest/Morris Park, New York",40.850332,-73.8513735

"Van Cortlandt Park, New York",40.8873486,-73.8942063

"East Flushing, New York",40.7540534,-73.8086418

"Randalls Island, New York",40.7932271,-73.92128579999999

"Ocean Parkway South, New York",40.6128775,-73.9683888

"College Point, New York",40.786395,-73.8389657

"Bensonhurst West, New York",40.6139307,-73.9921833

"Schuylerville/Edgewater Park, New York",40.8235967,-73.81029269999999

"Kingsbridge Heights, New York",40.8711235,-73.8976328

"Bensonhurst East, New York",40.6139307,-73.9921833

"Stapleton, New York",40.6264929,-74.07764139999999

"Highbridge Park, New York",40.8537599,-73.9257492

"Eastchester, New York",40.95956049999999,-73.8095574

"Grymes Hill/Clifton, New York",40.6187151,-74.09347509999999

"Forest Park/Highland Park, New York",43.19611,-78.67443999999999

"Rockaway Park, New York",40.57978629999999,-73.8372237

"Manhattan Beach, New York",40.57815799999999,-73.93892129999999

"Saint Michaels Cemetery/Woodside, New York",40.7646761,-73.89850419999999

"Rikers Island, New York",40.79312770000001,-73.88601

"Oakwood, New York",40.563994,-74.1159754

"Bronxdale, New York",40.8506558,-73.86652409999999

"West Brighton, New York",40.6270298,-74.10931409999999

"Gravesend, New York",40.5968007,-73.9749909

"Whitestone, New York",40.7920449,-73.8095574

"South Beach/Dongan Hills, New York",40.5906641,-74.088452

"Charleston/Tottenville, New York",40.5083408,-74.23554039999999

"Arden Heights, New York",40.556413,-74.1735044

"Westerleigh, New York",40.616296,-74.1386767

"New Dorp/Midland Beach, New York",40.5739937,-74.1159755

"Green-Wood Cemetery, New York",40.6525726,-73.9916336

"Eltingville/Annadale/Prince's Bay, New York",40.5232804,-74.20032309999999

"Astoria Park, New York",40.7756414,-73.9259596

"Breezy Point/Fort Tilden/Riis Beach, New York",40.5616379,-73.8953425

"Country Club, New York",40.8391667,-73.8197222

"Crotona Park, New York",40.8365344,-73.8933509

"Great Kills, New York",40.5543273,-74.156292

"Willets Point, New York",40.759744,-73.8455118

"Heartland Village/Todt Hill, New York",40.5908869,-74.1585424

"Port Richmond, New York",40.6339267,-74.13606519999999

"Jamaica Bay, New York",40.6056632,-73.8713099

"Rossville/Woodrow, New York",40.5487933,-74.2107848

"Freshkills Park, New York",40.5642714,-74.186255

"Governor's Island/Ellis Island/Liberty Island, New York",40.68945009999999,-74.016792

"Great Kills Park, New York",40.5492367,-74.1238486

"Clinton West, New York",40.76308732111293, -73.99384084177586
